Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
43201 Correctional service officers,"2,135","1,510",620
43202 By-law enforcement and other regulatory officers,395,245,150
"43203 Border services, customs, and immigration officers",400,280,115
43204 Operations members of the Canadian Armed Forces,"1,475","1,285",190
44 Care providers and legal and public protection support occupations,"7,370","1,450","5,925"
441 Home care provider occupations,"6,865","1,005","5,865"
4410 Home care provider occupations,"6,865","1,005","5,865"
44100 Home child care providers,"2,505",240,"2,265"
"44101 Home support workers, caregivers and related occupations","4,360",760,"3,600"
442 Primary combat members of the Canadian Armed Forces,505,450,60
4420 Primary combat members of the Canadian Armed Forces,505,450,60
44200 Primary combat members of the Canadian Armed Forces,505,450,60
"45 Student monitors, crossing guards and related occupations",850,95,755
"451 Student monitors, crossing guards and related occupations",850,95,755
"4510 Student monitors, crossing guards and related occupations",850,95,755
"45100 Student monitors, crossing guards and related occupations",850,95,755
"5 Occupations in art, culture, recreation and sport","17,845","7,875","9,970"
"50 Specialized middle management occupations in art, culture, recreation and sport",950,440,515
"500 Specialized middle management occupations in art, culture, recreation and sport",950,440,515
"5001 Managers in art, culture, recreation and sport",950,440,515
"50010 Library, archive, museum and art gallery managers",160,70,95
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",285,150,135
"50012 Recreation, sports and fitness program and service directors",505,225,280
51 Professional occupations in art and culture,"4,305","1,975","2,335"
511 Professional occupations in art and culture,"4,305","1,975","2,335"
"5110 Librarians, archivists, conservators and curators",375,110,270
51100 Librarians,220,60,165
51101 Conservators and curators,75,25,50
51102 Archivists,80,35,50
"5111 Writing, translating and related communications professionals","1,900",830,"1,070"
51110 Editors,385,185,200
51111 Authors and writers (except technical),560,270,290
51112 Technical writers,190,65,125
51113 Journalists,335,185,145
"51114 Translators, terminologists and interpreters",435,120,310
5112 Creative and performing artists,"2,025","1,025",995
"51120 Producers, directors, choreographers and related occupations",745,495,250
"51121 Conductors, composers and arrangers",80,50,25
51122 Musicians and singers,"1,205",485,715
"52 Technical occupations in art, culture and sport","5,180","2,335","2,845"
521 Technical occupations in art and culture,"5,180","2,335","2,845"
5210 Technical occupations in libraries and public archives,620,55,565
52100 Library and public archive technicians,620,55,565
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","1,760","1,160",600
52110 Film and video camera operators,215,190,25
52111 Graphic arts technicians,115,80,30
52112 Broadcast technicians,60,45,10
52113 Audio and video recording technicians,425,380,45
52114 Announcers and other broadcasters,240,160,80
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",715,300,410
5212 Graphic and interior designers,"2,800","1,125","1,675"
52120 Graphic designers and illustrators,"1,980",970,"1,015"
52121 Interior designers and interior decorators,815,155,660
"53 Occupations in art, culture and sport","3,955","1,730","2,225"
531 Occupations in art and culture,"3,405","1,390","2,010"
5310 Occupations related to museums and art galleries,250,140,110
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",250,140,110
5311 Photographers and support occupations in arts and culture,900,425,470
53110 Photographers,550,185,365
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",350,245,110
5312 Occupations in creative and performing art,"2,250",825,"1,430"
53120 Dancers,420,55,360
"53121 Actors, comedians and circus performers",495,290,205
"53122 Painters, sculptors and other visual artists",420,155,265
"53123 Theatre, fashion, exhibit and other creative designers",310,95,220
53124 Artisans and craftspersons,595,225,365
"53125 Patternmakers - textile, leather and fur products",15,0,10
532 Occupations in sports,555,345,210
"5320 Athletes, coaches, referees and related occupations",555,345,210
53200 Athletes,125,100,25
53201 Coaches,295,145,145
53202 Sports officials and referees,140,100,40
54 Support occupations in sport,"3,300","1,300","2,005"
541 Support occupations in sport,"3,300","1,300","2,005"
"5410 Program leaders and instructors in recreation, sport and fitness","3,300","1,300","2,005"
"54100 Program leaders and instructors in recreation, sport and fitness","3,300","1,300","2,005"
55 Support occupations in art and culture,150,95,55
551 Support occupations in art and culture,150,95,55
5510 Support occupations in art and culture,150,95,55
55109 Other performers,150,95,55
6 Sales and service occupations,"179,225","78,815","100,410"
60 Middle management occupations in retail and wholesale trade and customer services,"23,390","13,520","9,870"
600 Middle management occupations in retail and wholesale trade and customer services,"23,390","13,520","9,870"
6001 Corporate sales managers,"2,125","1,535",595
60010 Corporate sales managers,"2,125","1,535",595
6002 Retail and wholesale trade managers,"14,395","8,630","5,765"
60020 Retail and wholesale trade managers,"14,395","8,630","5,765"
6003 Managers in food service and accommodation,"5,825","2,870","2,955"
