Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
62 Retail sales and service supervisors and specialized occupations in sales and services,"70,230","39,475","30,760"
620 Retail sales and service supervisors,"39,185","19,230","19,955"
6201 Retail sales supervisors,"11,435","4,125","7,310"
62010 Retail sales supervisors,"11,435","4,125","7,310"
6202 Service supervisors,"27,745","15,105","12,645"
62020 Food service supervisors,"19,065","10,320","8,745"
62021 Executive housekeepers,425,125,290
"62022 Accommodation, travel, tourism and related services supervisors",705,370,330
62023 Customer and information services supervisors,"2,805","1,045","1,750"
62024 Cleaning supervisors,"2,385","1,525",865
62029 Other services supervisors,"2,375","1,710",665
621 Specialized sales occupations,"15,595","9,675","5,925"
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"15,595","9,675","5,925"
62100 Technical sales specialists - wholesale trade,"7,490","5,350","2,145"
62101 Retail and wholesale buyers,"8,105","4,325","3,780"
622 Specialized services occupations,"15,445","10,575","4,875"
6220 Specialized occupations in services,"15,445","10,575","4,875"
62200 Chefs,"13,020","9,115","3,905"
62201 Funeral directors and embalmers,"1,160",620,535
"62202 Jewellers, jewellery and watch repairers and related occupations","1,265",830,430
63 Occupations in sales and services,"179,890","76,360","103,530"
631 Occupations in sales,"46,445","21,420","25,025"
"6310 Insurance, real estate and financial sales occupations","46,445","21,420","25,025"
63100 Insurance agents and brokers,"16,430","6,535","9,900"
63101 Real estate agents and salespersons,"19,385","10,380","9,000"
63102 Financial sales representatives,"10,630","4,505","6,130"
632 Occupations in services,"133,445","54,940","78,500"
"6320 Cooks, butchers and bakers","77,730","44,920","32,805"
63200 Cooks,"61,650","35,170","26,485"
63201 Butchers - retail and wholesale,"6,255","5,635",620
63202 Bakers,"9,820","4,115","5,700"
6321 Hairstylists and estheticians,"44,845","6,010","38,835"
63210 Hairstylists and barbers,"25,850","4,310","21,540"
"63211 Estheticians, electrologists and related occupations","18,990","1,695","17,300"
"6322 Shoe repairers, shoemakers and upholsterers","10,870","4,010","6,860"
63220 Shoe repairers and shoemakers,"9,715","3,280","6,435"
63221 Upholsterers,"1,155",730,430
64 Sales and service representatives and other customer and personal services occupations,"332,015","156,460","175,555"
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"174,850","87,280","87,570"
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"174,850","87,280","87,570"
64100 Retail salespersons and visual merchandisers,"161,095","78,155","82,940"
64101 Sales and account representatives - wholesale trade (non-technical),"13,755","9,125","4,625"
642 Occupations in personal service,"9,940","1,490","8,455"
6420 Occupations in personal service,"9,940","1,490","8,455"
"64200 Tailors, dressmakers, furriers and milliners","9,450","1,265","8,180"
