Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
531 Occupations in art and culture,"1,380",555,825
5310 Occupations related to museums and art galleries,285,120,175
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",285,120,175
5311 Photographers and support occupations in arts and culture,240,135,105
53110 Photographers,185,90,95
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",55,45,15
5312 Occupations in creative and performing art,855,305,550
53120 Dancers,105,0,100
"53121 Actors, comedians and circus performers",160,90,70
"53122 Painters, sculptors and other visual artists",175,70,105
"53123 Theatre, fashion, exhibit and other creative designers",55,15,40
53124 Artisans and craftspersons,355,120,235
"53125 Patternmakers - textile, leather and fur products",0,0,0
532 Occupations in sports,235,165,65
"5320 Athletes, coaches, referees and related occupations",235,165,65
53200 Athletes,25,20,0
53201 Coaches,85,45,45
53202 Sports officials and referees,130,110,20
54 Support occupations in sport,"1,415",625,795
541 Support occupations in sport,"1,415",625,795
"5410 Program leaders and instructors in recreation, sport and fitness","1,415",625,795
"54100 Program leaders and instructors in recreation, sport and fitness","1,415",625,795
55 Support occupations in art and culture,25,20,0
551 Support occupations in art and culture,25,20,0
5510 Support occupations in art and culture,25,20,0
55109 Other performers,25,20,0
6 Sales and service occupations,"68,155","27,230","40,925"
60 Middle management occupations in retail and wholesale trade and customer services,"8,790","4,470","4,315"
600 Middle management occupations in retail and wholesale trade and customer services,"8,790","4,470","4,315"
6001 Corporate sales managers,495,325,165
60010 Corporate sales managers,495,325,165
6002 Retail and wholesale trade managers,"5,550","2,870","2,675"
60020 Retail and wholesale trade managers,"5,550","2,870","2,675"
6003 Managers in food service and accommodation,"2,455","1,130","1,325"
60030 Restaurant and food service managers,"1,855",870,985
60031 Accommodation service managers,595,260,335
6004 Managers in customer and personal services,290,135,155
60040 Managers in customer and personal services,290,135,155
62 Retail sales and service supervisors and specialized occupations in sales and services,"3,755","1,750","2,005"
620 Retail sales and service supervisors,"2,430",845,"1,585"
6201 Retail sales supervisors,950,290,660
62010 Retail sales supervisors,950,290,660
6202 Service supervisors,"1,480",555,920
62020 Food service supervisors,"1,060",360,700
62021 Executive housekeepers,25,0,15
"62022 Accommodation, travel, tourism and related services supervisors",40,10,35
62023 Customer and information services supervisors,80,25,60
62024 Cleaning supervisors,135,70,65
62029 Other services supervisors,140,90,45
621 Specialized sales occupations,665,405,260
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,665,405,260
62100 Technical sales specialists - wholesale trade,290,225,65
62101 Retail and wholesale buyers,370,175,200
622 Specialized services occupations,665,500,165
6220 Specialized occupations in services,665,500,165
62200 Chefs,520,405,115
62201 Funeral directors and embalmers,130,85,40
"62202 Jewellers, jewellery and watch repairers and related occupations",15,10,10
63 Occupations in sales and services,"8,500","2,820","5,675"
631 Occupations in sales,"1,865",695,"1,170"
"6310 Insurance, real estate and financial sales occupations","1,865",695,"1,170"
63100 Insurance agents and brokers,815,280,540
63101 Real estate agents and salespersons,605,300,305
63102 Financial sales representatives,445,120,330
632 Occupations in services,"6,640","2,125","4,505"
"6320 Cooks, butchers and bakers","4,405","1,925","2,480"
63200 Cooks,"3,385","1,550","1,830"
63201 Butchers - retail and wholesale,105,85,15
63202 Bakers,920,290,630
6321 Hairstylists and estheticians,"2,200",175,"2,025"
63210 Hairstylists and barbers,"1,460",115,"1,340"
"63211 Estheticians, electrologists and related occupations",745,65,680
"6322 Shoe repairers, shoemakers and upholsterers",30,25,0
63220 Shoe repairers and shoemakers,15,0,0
63221 Upholsterers,20,20,0
64 Sales and service representatives and other customer and personal services occupations,"17,320","7,395","9,925"
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"9,420","4,045","5,380"
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"9,420","4,045","5,380"
64100 Retail salespersons and visual merchandisers,"8,980","3,705","5,275"
64101 Sales and account representatives - wholesale trade (non-technical),440,335,100
642 Occupations in personal service,115,20,95
6420 Occupations in personal service,115,20,95
"64200 Tailors, dressmakers, furriers and milliners",100,20,85
"64201 Image, social and other personal consultants",15,0,0
"643 Occupations in food, accommodation and tourism","2,275",695,"1,575"
6430 Occupations in food and beverage service,"1,070",275,800
64300 Maîtres d'hôtel and hosts/hostesses,245,35,210
64301 Bartenders,830,240,590
6431 Occupations in travel and accommodation,940,205,730
64310 Travel counsellors,200,15,180
64311 Pursers and flight attendants,115,25,90
64312 Airline ticket and service agents,210,55,155
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",40,10,35
64314 Hotel front desk clerks,375,100,270
6432 Tourism and amusement services occupations,260,215,45
64320 Tour and travel guides,125,85,45
64321 Casino workers,0,0,0
64322 Outdoor sport and recreational guides,130,130,0
"644 Occupations in customer, information and protective services","5,510","2,635","2,875"
6440 Customer and information services representatives,"3,465","1,100","2,370"
64400 Customer services representatives - financial institutions,570,100,470
64401 Postal services representatives,150,30,125
64409 Other customer and information services representatives,"2,740",970,"1,770"
6441 Security guards and related security service occupations,"2,045","1,540",505
64410 Security guards and related security service occupations,"2,045","1,540",505
65 Sales and service support occupations,"29,790","10,790","18,995"
651 Sales support occupations,"12,735","4,495","8,245"
