Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"6310 Insurance, real estate and financial sales occupations",640,310,330
63100 Insurance agents and brokers,190,95,90
63101 Real estate agents and salespersons,275,170,100
63102 Financial sales representatives,175,45,135
632 Occupations in services,"2,075",715,"1,365"
"6320 Cooks, butchers and bakers","1,365",635,730
63200 Cooks,"1,045",530,520
63201 Butchers - retail and wholesale,45,25,15
63202 Bakers,275,85,195
6321 Hairstylists and estheticians,705,65,635
63210 Hairstylists and barbers,460,35,430
"63211 Estheticians, electrologists and related occupations",245,35,205
"6322 Shoe repairers, shoemakers and upholsterers",10,10,0
63220 Shoe repairers and shoemakers,0,0,0
63221 Upholsterers,10,10,0
64 Sales and service representatives and other customer and personal services occupations,"5,670","2,420","3,250"
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"3,055","1,365","1,690"
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"3,055","1,365","1,690"
64100 Retail salespersons and visual merchandisers,"2,920","1,275","1,645"
64101 Sales and account representatives - wholesale trade (non-technical),140,95,45
642 Occupations in personal service,50,0,50
6420 Occupations in personal service,50,0,50
"64200 Tailors, dressmakers, furriers and milliners",35,0,35
"64201 Image, social and other personal consultants",20,0,20
"643 Occupations in food, accommodation and tourism",590,200,390
6430 Occupations in food and beverage service,260,75,190
64300 Maîtres d'hôtel and hosts/hostesses,105,10,95
64301 Bartenders,155,60,95
6431 Occupations in travel and accommodation,285,105,180
64310 Travel counsellors,65,15,50
64311 Pursers and flight attendants,15,0,15
64312 Airline ticket and service agents,25,10,15
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0
64314 Hotel front desk clerks,180,75,105
6432 Tourism and amusement services occupations,45,20,20
64320 Tour and travel guides,35,15,15
64321 Casino workers,10,0,10
64322 Outdoor sport and recreational guides,0,0,0
"644 Occupations in customer, information and protective services","1,970",850,"1,115"
6440 Customer and information services representatives,"1,600",555,"1,045"
64400 Customer services representatives - financial institutions,220,30,185
64401 Postal services representatives,35,0,35
64409 Other customer and information services representatives,"1,340",525,820
6441 Security guards and related security service occupations,370,300,70
64410 Security guards and related security service occupations,370,300,70
