Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
62023 Customer and information services supervisors,475,190,290
62024 Cleaning supervisors,270,135,135
62029 Other services supervisors,185,120,70
621 Specialized sales occupations,"1,555","1,050",505
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"1,555","1,050",505
62100 Technical sales specialists - wholesale trade,805,625,185
62101 Retail and wholesale buyers,750,430,320
622 Specialized services occupations,920,580,340
6220 Specialized occupations in services,920,580,340
62200 Chefs,715,445,270
62201 Funeral directors and embalmers,180,120,55
"62202 Jewellers, jewellery and watch repairers and related occupations",25,15,10
63 Occupations in sales and services,"14,330","4,800","9,530"
631 Occupations in sales,"4,065","1,570","2,495"
"6310 Insurance, real estate and financial sales occupations","4,065","1,570","2,495"
63100 Insurance agents and brokers,"2,115",810,"1,305"
63101 Real estate agents and salespersons,"1,000",470,530
63102 Financial sales representatives,950,285,660
632 Occupations in services,"10,265","3,230","7,030"
"6320 Cooks, butchers and bakers","6,240","2,775","3,465"
63200 Cooks,"4,960","2,250","2,705"
63201 Butchers - retail and wholesale,180,160,25
63202 Bakers,"1,100",365,740
6321 Hairstylists and estheticians,"3,910",385,"3,530"
63210 Hairstylists and barbers,"2,520",290,"2,225"
"63211 Estheticians, electrologists and related occupations","1,395",90,"1,300"
"6322 Shoe repairers, shoemakers and upholsterers",110,70,40
63220 Shoe repairers and shoemakers,70,35,35
63221 Upholsterers,45,40,0
64 Sales and service representatives and other customer and personal services occupations,"32,140","14,360","17,780"
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"14,960","7,360","7,595"
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"14,960","7,360","7,595"
64100 Retail salespersons and visual merchandisers,"13,955","6,625","7,335"
64101 Sales and account representatives - wholesale trade (non-technical),"1,000",740,260
642 Occupations in personal service,330,55,270
6420 Occupations in personal service,330,55,270
"64200 Tailors, dressmakers, furriers and milliners",255,35,225
"64201 Image, social and other personal consultants",75,25,45
"643 Occupations in food, accommodation and tourism","3,105",960,"2,150"
6430 Occupations in food and beverage service,"1,105",270,840
64300 Maîtres d'hôtel and hosts/hostesses,395,50,340
64301 Bartenders,715,215,495
6431 Occupations in travel and accommodation,"1,650",490,"1,160"
64310 Travel counsellors,405,80,330
64311 Pursers and flight attendants,70,20,45
64312 Airline ticket and service agents,410,145,265
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",45,15,30
64314 Hotel front desk clerks,725,235,485
6432 Tourism and amusement services occupations,350,195,155
64320 Tour and travel guides,135,40,90
64321 Casino workers,70,20,50
64322 Outdoor sport and recreational guides,145,135,10
"644 Occupations in customer, information and protective services","13,750","5,985","7,765"
6440 Customer and information services representatives,"11,260","3,980","7,275"
64400 Customer services representatives - financial institutions,"1,635",355,"1,290"
64401 Postal services representatives,270,45,220
64409 Other customer and information services representatives,"9,355","3,585","5,770"
6441 Security guards and related security service occupations,"2,490","2,005",485
64410 Security guards and related security service occupations,"2,490","2,005",485
65 Sales and service support occupations,"46,525","17,720","28,805"
651 Sales support occupations,"18,530","6,920","11,605"
6510 Cashiers and other sales support occupations,"18,530","6,920","11,605"
65100 Cashiers,"12,125","2,840","9,285"
65101 Service station attendants,390,330,60
"65102 Store shelf stockers, clerks and order fillers","5,170","3,355","1,815"
65109 Other sales related occupations,840,390,445
"652 Support occupations in food, accommodation and tourism","14,800","4,780","10,020"
6520 Food support occupations,"13,110","4,065","9,040"
65200 Food and beverage servers,"2,575",460,"2,120"
"65201 Food counter attendants, kitchen helpers and related support occupations","10,270","3,390","6,880"
65202 Meat cutters and fishmongers - retail and wholesale,260,220,45
"6521 Support occupations in accommodation, travel, tourism and amusement services","1,055",615,440
"65210 Support occupations in accommodation, travel and facilities set-up services",55,20,30
"65211 Operators and attendants in amusement, recreation and sport","1,005",595,410
6522 Support occupations in personal services,635,100,540
65220 Pet groomers and animal care workers,570,90,475
65229 Other support occupations in personal services,70,10,65
653 Support occupations in cleaning and related services,"13,185","6,010","7,175"
6531 Cleaners,"12,210","5,605","6,605"
65310 Light duty cleaners,"6,995","1,970","5,020"
65311 Specialized cleaners,"1,095",970,120
"65312 Janitors, caretakers and heavy-duty cleaners","4,120","2,660","1,460"
6532 Service support and related occupations,980,410,570
"65320 Dry cleaning, laundry and related occupations",535,170,360
65329 Other service support occupations,445,235,210
"7 Trades, transport and equipment operators and related occupations","75,675","70,425","5,255"
70 Middle management occupations in trades and transportation,"3,935","3,315",620
700 Middle management occupations in trades and transportation,"3,935","3,315",620
7001 Managers in construction and facility operation and maintenance,"3,040","2,680",365
70010 Construction managers,"1,175","1,085",90
70011 Home building and renovation managers,495,470,20
70012 Facility operation and maintenance managers,"1,370","1,125",250
7002 Managers in transportation and postal and courier services,895,645,255
70020 Managers in transportation,780,585,195
70021 Postal and courier services managers,120,55,60
72 Technical trades and transportation officers and controllers,"30,750","29,690","1,065"
720 Technical trades contractors and supervisors,"4,155","3,705",445
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","1,980","1,875",105
