Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
632 Occupations in services,"12,710","4,985","7,725"
"6320 Cooks, butchers and bakers","8,165","4,315","3,855"
63200 Cooks,"6,375","3,680","2,700"
63201 Butchers - retail and wholesale,145,125,25
63202 Bakers,"1,645",515,"1,130"
6321 Hairstylists and estheticians,"4,455",595,"3,860"
63210 Hairstylists and barbers,"3,015",430,"2,590"
"63211 Estheticians, electrologists and related occupations","1,435",160,"1,275"
"6322 Shoe repairers, shoemakers and upholsterers",85,75,15
63220 Shoe repairers and shoemakers,25,15,10
63221 Upholsterers,60,55,0
64 Sales and service representatives and other customer and personal services occupations,"38,150","16,885","21,270"
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"20,530","9,325","11,205"
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"20,530","9,325","11,205"
64100 Retail salespersons and visual merchandisers,"19,120","8,380","10,740"
64101 Sales and account representatives - wholesale trade (non-technical),"1,410",955,455
642 Occupations in personal service,295,30,265
6420 Occupations in personal service,295,30,265
"64200 Tailors, dressmakers, furriers and milliners",270,30,235
"64201 Image, social and other personal consultants",30,0,30
"643 Occupations in food, accommodation and tourism","3,535","1,235","2,300"
6430 Occupations in food and beverage service,"1,585",575,"1,015"
64300 Maîtres d'hôtel and hosts/hostesses,460,75,385
64301 Bartenders,"1,130",495,630
6431 Occupations in travel and accommodation,"1,710",525,"1,185"
64310 Travel counsellors,460,65,395
64311 Pursers and flight attendants,265,75,185
64312 Airline ticket and service agents,290,125,165
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",50,10,45
64314 Hotel front desk clerks,650,250,395
6432 Tourism and amusement services occupations,235,130,100
64320 Tour and travel guides,130,75,55
64321 Casino workers,60,35,30
64322 Outdoor sport and recreational guides,35,20,15
"644 Occupations in customer, information and protective services","13,790","6,290","7,500"
6440 Customer and information services representatives,"10,055","3,395","6,665"
64400 Customer services representatives - financial institutions,"1,680",480,"1,200"
64401 Postal services representatives,155,25,120
64409 Other customer and information services representatives,"8,225","2,885","5,335"
6441 Security guards and related security service occupations,"3,730","2,895",840
64410 Security guards and related security service occupations,"3,730","2,895",840
65 Sales and service support occupations,"55,670","20,670","35,005"
651 Sales support occupations,"21,625","8,310","13,315"
6510 Cashiers and other sales support occupations,"21,625","8,310","13,315"
65100 Cashiers,"13,635","3,335","10,300"
65101 Service station attendants,280,220,65
"65102 Store shelf stockers, clerks and order fillers","6,730","4,360","2,370"
65109 Other sales related occupations,975,390,585
"652 Support occupations in food, accommodation and tourism","19,455","6,360","13,090"
6520 Food support occupations,"17,225","5,415","11,810"
65200 Food and beverage servers,"3,815",765,"3,050"
"65201 Food counter attendants, kitchen helpers and related support occupations","13,105","4,385","8,720"
65202 Meat cutters and fishmongers - retail and wholesale,310,260,45
"6521 Support occupations in accommodation, travel, tourism and amusement services","1,280",815,465
"65210 Support occupations in accommodation, travel and facilities set-up services",75,45,35
"65211 Operators and attendants in amusement, recreation and sport","1,200",775,435
6522 Support occupations in personal services,945,135,815
65220 Pet groomers and animal care workers,890,130,760
65229 Other support occupations in personal services,60,10,55
653 Support occupations in cleaning and related services,"14,595","6,005","8,595"
6531 Cleaners,"13,195","5,350","7,840"
65310 Light duty cleaners,"8,755","2,425","6,330"
65311 Specialized cleaners,"1,035",865,170
"65312 Janitors, caretakers and heavy-duty cleaners","3,400","2,055","1,340"
6532 Service support and related occupations,"1,405",650,755
"65320 Dry cleaning, laundry and related occupations",685,240,450
65329 Other service support occupations,720,415,305
"7 Trades, transport and equipment operators and related occupations","89,775","82,710","7,065"
70 Middle management occupations in trades and transportation,"6,040","4,950","1,090"
700 Middle management occupations in trades and transportation,"6,040","4,950","1,090"
7001 Managers in construction and facility operation and maintenance,"5,040","4,200",840
70010 Construction managers,"2,135","1,825",310
70011 Home building and renovation managers,940,865,75
70012 Facility operation and maintenance managers,"1,970","1,510",455
7002 Managers in transportation and postal and courier services,995,750,245
70020 Managers in transportation,880,670,205
70021 Postal and courier services managers,115,80,40
72 Technical trades and transportation officers and controllers,"38,090","36,465","1,620"
720 Technical trades contractors and supervisors,"5,580","5,005",575
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","3,040","2,875",165
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",375,350,25
"72011 Contractors and supervisors, electrical trades and telecommunications occupations",615,570,50
"72012 Contractors and supervisors, pipefitting trades",255,250,0
"72013 Contractors and supervisors, carpentry trades",655,640,15
