Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
60020 Retail and wholesale trade managers,"13,010","7,740","5,270"
6003 Managers in food service and accommodation,"5,380","2,690","2,690"
60030 Restaurant and food service managers,"4,190","2,105","2,085"
60031 Accommodation service managers,"1,190",590,605
6004 Managers in customer and personal services,925,405,525
60040 Managers in customer and personal services,925,405,525
62 Retail sales and service supervisors and specialized occupations in sales and services,"10,745","5,665","5,075"
620 Retail sales and service supervisors,"6,750","2,910","3,835"
6201 Retail sales supervisors,"2,380",985,"1,395"
62010 Retail sales supervisors,"2,380",985,"1,395"
6202 Service supervisors,"4,365","1,925","2,445"
62020 Food service supervisors,"2,935","1,310","1,630"
62021 Executive housekeepers,85,10,75
"62022 Accommodation, travel, tourism and related services supervisors",295,115,180
62023 Customer and information services supervisors,220,50,170
62024 Cleaning supervisors,540,255,285
62029 Other services supervisors,290,190,100
621 Specialized sales occupations,"2,480","1,690",790
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"2,480","1,690",790
62100 Technical sales specialists - wholesale trade,"1,640","1,315",325
62101 Retail and wholesale buyers,840,370,465
622 Specialized services occupations,"1,515","1,065",455
6220 Specialized occupations in services,"1,515","1,065",455
62200 Chefs,"1,255",930,325
62201 Funeral directors and embalmers,190,95,95
"62202 Jewellers, jewellery and watch repairers and related occupations",70,35,35
63 Occupations in sales and services,"19,580","7,245","12,340"
631 Occupations in sales,"5,650","2,185","3,465"
"6310 Insurance, real estate and financial sales occupations","5,650","2,185","3,465"
63100 Insurance agents and brokers,"2,195",775,"1,410"
63101 Real estate agents and salespersons,"1,595",830,760
63102 Financial sales representatives,"1,860",570,"1,290"
632 Occupations in services,"13,935","5,060","8,875"
"6320 Cooks, butchers and bakers","8,910","4,565","4,335"
63200 Cooks,"7,350","3,960","3,385"
63201 Butchers - retail and wholesale,185,155,35
63202 Bakers,"1,375",455,920
6321 Hairstylists and estheticians,"4,905",395,"4,510"
63210 Hairstylists and barbers,"2,965",215,"2,750"
"63211 Estheticians, electrologists and related occupations","1,945",180,"1,760"
"6322 Shoe repairers, shoemakers and upholsterers",120,100,25
63220 Shoe repairers and shoemakers,10,10,0
63221 Upholsterers,110,90,25
64 Sales and service representatives and other customer and personal services occupations,"37,450","16,525","20,925"
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"21,340","9,990","11,345"
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"21,340","9,990","11,345"
64100 Retail salespersons and visual merchandisers,"19,915","8,980","10,935"
64101 Sales and account representatives - wholesale trade (non-technical),"1,420","1,010",410
642 Occupations in personal service,430,40,385
6420 Occupations in personal service,430,40,385
"64200 Tailors, dressmakers, furriers and milliners",375,25,350
"64201 Image, social and other personal consultants",50,15,35
"643 Occupations in food, accommodation and tourism","3,550","1,090","2,460"
6430 Occupations in food and beverage service,"1,775",470,"1,305"
64300 Maîtres d'hôtel and hosts/hostesses,650,65,590
64301 Bartenders,"1,125",410,715
6431 Occupations in travel and accommodation,"1,340",375,960
64310 Travel counsellors,290,45,250
64311 Pursers and flight attendants,70,20,50
64312 Airline ticket and service agents,175,60,115
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0
64314 Hotel front desk clerks,795,240,550
