Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,150,80,70
64100 Retail salespersons and visual merchandisers,140,75,70
64101 Sales and account representatives - wholesale trade (non-technical),10,0,0
642 Occupations in personal service,10,0,10
6420 Occupations in personal service,10,0,10
"64200 Tailors, dressmakers, furriers and milliners",10,0,10
"64201 Image, social and other personal consultants",0,0,0
"643 Occupations in food, accommodation and tourism",205,105,100
6430 Occupations in food and beverage service,15,10,10
64300 Maîtres d'hôtel and hosts/hostesses,0,0,0
64301 Bartenders,15,10,0
6431 Occupations in travel and accommodation,160,70,90
64310 Travel counsellors,35,0,25
64311 Pursers and flight attendants,0,0,0
64312 Airline ticket and service agents,110,60,45
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0
64314 Hotel front desk clerks,20,0,20
6432 Tourism and amusement services occupations,25,25,0
64320 Tour and travel guides,15,15,0
64321 Casino workers,0,0,0
64322 Outdoor sport and recreational guides,15,15,0
"644 Occupations in customer, information and protective services",295,195,100
6440 Customer and information services representatives,90,25,65
64400 Customer services representatives - financial institutions,25,10,20
64401 Postal services representatives,10,0,0
64409 Other customer and information services representatives,55,20,35
6441 Security guards and related security service occupations,205,170,35
64410 Security guards and related security service occupations,205,170,35
65 Sales and service support occupations,"2,485",975,"1,515"
651 Sales support occupations,"1,290",545,745
6510 Cashiers and other sales support occupations,"1,290",545,745
65100 Cashiers,800,120,685
65101 Service station attendants,55,50,0
"65102 Store shelf stockers, clerks and order fillers",435,375,60
65109 Other sales related occupations,10,0,0
"652 Support occupations in food, accommodation and tourism",330,135,195
6520 Food support occupations,270,90,185
65200 Food and beverage servers,65,0,60
"65201 Food counter attendants, kitchen helpers and related support occupations",200,85,120
65202 Meat cutters and fishmongers - retail and wholesale,10,10,0
"6521 Support occupations in accommodation, travel, tourism and amusement services",50,45,10
"65210 Support occupations in accommodation, travel and facilities set-up services",0,0,0
"65211 Operators and attendants in amusement, recreation and sport",50,45,10
6522 Support occupations in personal services,10,0,0
65220 Pet groomers and animal care workers,10,0,0
65229 Other support occupations in personal services,0,0,0
653 Support occupations in cleaning and related services,865,295,575
6531 Cleaners,865,285,575
65310 Light duty cleaners,340,70,265
65311 Specialized cleaners,20,15,10
"65312 Janitors, caretakers and heavy-duty cleaners",510,205,305
6532 Service support and related occupations,0,0,0
"65320 Dry cleaning, laundry and related occupations",0,0,0
65329 Other service support occupations,0,0,0
"7 Trades, transport and equipment operators and related occupations","3,035","2,820",215
70 Middle management occupations in trades and transportation,175,150,25
700 Middle management occupations in trades and transportation,175,150,25
7001 Managers in construction and facility operation and maintenance,150,125,20
70010 Construction managers,30,30,0
70011 Home building and renovation managers,30,25,0
70012 Facility operation and maintenance managers,85,75,15
7002 Managers in transportation and postal and courier services,30,25,0
70020 Managers in transportation,30,25,10
70021 Postal and courier services managers,0,0,0
72 Technical trades and transportation officers and controllers,720,690,35
720 Technical trades contractors and supervisors,75,60,15
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers",30,30,10
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",10,0,10
"72011 Contractors and supervisors, electrical trades and telecommunications occupations",10,10,0
"72012 Contractors and supervisors, pipefitting trades",0,0,0
"72013 Contractors and supervisors, carpentry trades",0,0,0
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers",10,10,0
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators",45,35,15
"72020 Contractors and supervisors, mechanic trades",10,10,0
"72021 Contractors and supervisors, heavy equipment operator crews",20,20,0
"72022 Supervisors, printing and related occupations",0,0,0
"72023 Supervisors, railway transport operations",0,0,0
"72024 Supervisors, motor transport and other ground transit operators",10,0,0
"72025 Supervisors, mail and message distribution occupations",20,10,10
721 Technical industrial trades,20,20,0
"7210 Machining, metal forming, shaping and erecting trades",20,20,0
72100 Machinists and machining and tooling inspectors,0,0,0
72101 Tool and die makers,0,0,0
72102 Sheet metal workers,0,0,0
72103 Boilermakers,0,0,0
72104 Structural metal and platework fabricators and fitters,0,0,0
72105 Ironworkers,0,0,0
72106 Welders and related machine operators,15,15,0
722 Technical electrical trades,105,100,0
7220 Technical electrical trades and electrical power line and telecommunications workers,105,100,0
72200 Electricians (except industrial and power system),50,45,0
72201 Industrial electricians,0,0,0
72202 Power system electricians,10,10,0
72203 Electrical power line and cable workers,10,10,0
72204 Telecommunications line and cable installers and repairers,10,10,0
72205 Telecommunications equipment installation and cable television service technicians,20,20,0
723 Technical construction trades,285,275,0
"7230 Plumbers, pipefitters and gas fitters",65,65,0
72300 Plumbers,65,65,0
"72301 Steamfitters, pipefitters and sprinkler system installers",0,0,0
72302 Gas fitters,0,0,0
7231 Carpenters and cabinetmakers,215,210,0
72310 Carpenters,215,210,0
72311 Cabinetmakers,0,0,0
7232 Bricklayers and insulators,0,0,0
72320 Bricklayers,0,0,0
72321 Insulators,0,0,0
724 Technical maintenance trades,215,210,0
7240 Machinery and transportation equipment mechanics (except motor vehicles),65,65,0
72400 Construction millwrights and industrial mechanics,15,15,0
72401 Heavy-duty equipment mechanics,40,40,0
"72402 Heating, refrigeration and air conditioning mechanics",10,10,0
72403 Railway carmen/women,0,0,0
