Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","1,865",705,"1,155"
5212 Graphic and interior designers,"9,605","3,215","6,395"
52120 Graphic designers and illustrators,"6,575","2,845","3,730"
52121 Interior designers and interior decorators,"3,035",375,"2,665"
"53 Occupations in art, culture and sport","14,910","5,900","9,010"
531 Occupations in art and culture,"11,640","3,860","7,780"
5310 Occupations related to museums and art galleries,800,365,435
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",800,365,435
5311 Photographers and support occupations in arts and culture,"3,225","1,285","1,945"
53110 Photographers,"2,635",905,"1,730"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",590,380,210
5312 Occupations in creative and performing art,"7,615","2,215","5,400"
53120 Dancers,"1,420",150,"1,275"
"53121 Actors, comedians and circus performers","1,070",565,500
"53122 Painters, sculptors and other visual artists","2,100",610,"1,490"
"53123 Theatre, fashion, exhibit and other creative designers",740,185,555
53124 Artisans and craftspersons,"2,270",695,"1,575"
"53125 Patternmakers - textile, leather and fur products",15,10,10
532 Occupations in sports,"3,275","2,040","1,230"
"5320 Athletes, coaches, referees and related occupations","3,275","2,040","1,230"
53200 Athletes,600,495,105
53201 Coaches,"2,095","1,080","1,020"
53202 Sports officials and referees,575,465,110
54 Support occupations in sport,"12,770","5,090","7,675"
541 Support occupations in sport,"12,770","5,090","7,675"
"5410 Program leaders and instructors in recreation, sport and fitness","12,770","5,090","7,675"
"54100 Program leaders and instructors in recreation, sport and fitness","12,770","5,090","7,675"
55 Support occupations in art and culture,670,260,410
551 Support occupations in art and culture,670,260,410
5510 Support occupations in art and culture,670,260,410
55109 Other performers,670,260,410
6 Sales and service occupations,"601,000","255,480","345,515"
60 Middle management occupations in retail and wholesale trade and customer services,"85,125","48,480","36,645"
600 Middle management occupations in retail and wholesale trade and customer services,"85,125","48,480","36,645"
6001 Corporate sales managers,"8,080","5,610","2,470"
60010 Corporate sales managers,"8,080","5,610","2,470"
6002 Retail and wholesale trade managers,"52,675","30,770","21,910"
60020 Retail and wholesale trade managers,"52,675","30,770","21,910"
6003 Managers in food service and accommodation,"20,005","10,195","9,810"
60030 Restaurant and food service managers,"16,300","8,370","7,930"
60031 Accommodation service managers,"3,705","1,825","1,880"
6004 Managers in customer and personal services,"4,365","1,915","2,450"
60040 Managers in customer and personal services,"4,365","1,915","2,450"
62 Retail sales and service supervisors and specialized occupations in sales and services,"47,355","25,700","21,660"
620 Retail sales and service supervisors,"25,545","10,610","14,930"
6201 Retail sales supervisors,"9,550","3,875","5,675"
62010 Retail sales supervisors,"9,550","3,875","5,675"
6202 Service supervisors,"15,995","6,735","9,255"
